Date,Brigade enterprises,Suzlon,Omaxe,DLF,Infosys,HDFC bank,HCL tech,Welspun india,Britannia,Asahi india
01-11-2015,100.166664,10.1,169.100006,114.599998,498.75,35.389999,381.575012,56.799999,1655.974976,108.152832
01-12-2015,99.400002,11.1,159.75,116,487.774994,32.259998,401.899994,69.650002,1516.449951,97.953041
01-01-2016,106.966667,13.05,158.399994,96.349998,505.299988,30.34,413.975006,66.849998,1443.150024,95.54821
01-02-2016,115.099998,22,164.800003,88.949997,464.299988,34.465,405.575012,76.199997,1565.224976,87.854599
01-03-2016,113.566666,28.35,167.449997,114.75,506.200012,35.845001,420.049988,89.150002,1614.699951,79.304092
01-04-2016,115.699997,21.700001,168.850006,129.5,511.125,37.610001,437.375,87.75,1687,89.052406
01-05-2016,120,21.549999,192.649994,129.899994,459.475006,39.805,407.049988,95.349998,1812.275024,104.347488
01-06-2016,101.433334,12.9,200.550003,149.949997,488.524994,43.900002,432.125,81.599998,1766.324951,84.003181
01-07-2016,100.066666,13.45,202.350006,161.300003,467.774994,43.485001,425.450012,82.699997,1845.025024,80.750671
01-08-2016,104.900002,14.05,204.600006,154.850006,505.600006,48.389999,446.450012,82.199997,1960.800049,81.84713
01-09-2016,114.23333,14.7,203.25,146.149994,457.475006,48.715,432.649994,77.550003,2115.475098,67.897278
01-10-2016,154.366669,16.200001,196.75,150.5,449.950012,48.185001,437.399994,68.349998,2172.125,67.003525
01-11-2016,164.199997,27.799999,204.949997,115,460.924988,46.150002,427.899994,67,2319.75,63.050762
01-12-2016,167.733337,27.35,211.300003,111.400002,488.049988,48.549999,424,71.699997,2407.800049,56.002121
01-01-2017,172.266663,23.799999,230.5,134.949997,521.025024,50.834999,445.25,71.400002,2354.625,54.002705
01-02-2017,186.53334,25.200001,228.949997,150.449997,575.125,54.294998,493.274994,69.050003,2342.074951,59.051926
01-03-2017,177,22.200001,226.399994,148.649994,586.299988,48.59,470.149994,64.5,2497.125,59.798252
01-04-2017,166.399994,21.9,220.550003,186,565.900024,49.384998,484.299988,58.049999,2485.300049,56.601025
01-05-2017,176.333328,22.1,222.699997,179.550003,599.75,47.904999,526.375,57.25,2756.600098,72.402878
01-06-2017,202.633331,20.85,222.699997,190.699997,615.900024,53.209999,455.174988,62.700001,2961.975098,59.153278
01-07-2017,210.03334,24.6,219.25,193.350006,653.599976,52.509998,463.125,54.150002,3106.875,60.000957
01-08-2017,190.266663,21.700001,225.050003,185.050003,682.549988,51.669998,482.549988,56.900002,3271.100098,60.249733
01-09-2017,190.199997,20.85,221.899994,164.300003,720.549988,50.634998,523.224976,75.25,3368.375,69.703201
01-10-2017,163.766663,20.299999,217.149994,201.350006,730.049988,47.049999,543.900024,58.549999,2911.75,69.002945
01-11-2017,187.800003,13.5,212.850006,233.25,686.400024,44.455002,527.799988,58.950001,2822.050049,65.004112
01-12-2017,163.46666,14.2,209.550003,259.350006,667.450012,50.709999,507.5,60.849998,3169.75,59.346771
01-01-2018,141.433334,14.95,213.75,250.100006,658.950012,51.794998,482.174988,59.799999,3115.399902,52.795685
01-02-2018,131.03334,15.9,212.25,226.25,749.549988,49.110001,502.600006,60.200001,3197.699951,49.598457
01-03-2018,140.100006,17.4,205.75,201.25,734.299988,50.560001,526.950012,51.549999,3056.899902,49.598457
01-04-2018,126.633331,17.450001,206.199997,223.100006,743.849976,57.955002,543.724976,59.650002,3085.5,48.096592
01-05-2018,106.666664,15.8,207.649994,209.899994,751.349976,57.325001,591.674988,53.25,2896.050049,47.552971
01-06-2018,131.266663,14.85,205.600006,188.800003,737.75,62.080002,546.275024,55.099998,2921.949951,40.651752
01-07-2018,145.300003,15.15,199.5,196.300003,732,65.019997,532.325012,57.400002,2743.699951,41.646854
01-08-2018,140.300003,14.8,198.550003,220.800003,793.650024,57.490002,517.275024,50,2605,35.549999
01-09-2018,131.399994,13.8,193.5,162.550003,814.900024,53.900002,550.174988,50.25,2701.649902,31.950001
01-10-2018,167.066666,17.1,191.550003,164.75,805.650024,57.049999,540.299988,52.650002,2944.149902,37.700001
01-11-2018,147.96666,18.1,183.449997,178.100006,685.599976,61.09,581.375,55.849998,3266.600098,43.599998
01-12-2018,167.566666,19.1,181.449997,177.550003,696.349976,61.75,563.825012,52.799999,3057.699951,42.849998
01-01-2019,172.133331,20.6,155.050003,164.850006,731.150024,63.369999,568.099976,48,3027.800049,45.200001
01-02-2019,174.399994,19.299999,154.800003,164.699997,775.950012,57.279999,591.400024,43.049999,3200.699951,42.25
01-03-2019,199.699997,18.75,157,202.449997,731.700012,54.849998,534.349976,41.299999,2970.199951,48.150002
01-04-2019,215.350006,18.950001,152.699997,172.75,641.5,38.459999,436.399994,21.6,2688.949951,59.5
01-05-2019,206.25,16.299999,152,191.199997,715.5,43.349998,543.549988,26.299999,3165.75,54.099998
01-06-2019,205,15.6,177.550003,188.550003,691,41.830002,550.25,31.15,3378.850098,66.349998
01-07-2019,218.5,16.950001,141.149994,178.149994,735.950012,45.459999,556.849976,37.099998,3603.800049,72.400002
01-08-2019,239.600006,13.95,83.650002,168.149994,966,46.75,705.200012,39.200001,3823.600098,89.449997
01-09-2019,231.550003,15.55,71,155.600006,928.599976,49.599998,694.400024,54.450001,3726.050049,91.949997
01-10-2019,130.149994,14.6,67.150002,183.300003,1008.25,49.959999,811.599976,67,3798.149902,111.050003
01-11-2019,119.550003,12.8,66.300003,219.699997,1060.599976,57.439999,841.950012,69.849998,3473.25,117.099998
01-12-2019,100.300003,10.7,69.25,230.899994,1100,69,822.099976,68.650002,3637.949951,126.949997
01-01-2020,135.949997,10.9,82.449997,260.450012,1255.800049,72.260002,946.150024,67.900002,3576.350098,122
01-02-2020,140.449997,8.75,73.599998,201.699997,1239.050049,72.099998,914,66.099998,3501.100098,132.75
01-03-2020,174.649994,7.5,70,137.449997,1253.300049,79.139999,909.450012,69.199997,3363.75,134.75
01-04-2020,162.899994,7.8,67.900002,146.850006,1368.050049,77.690002,982.650024,80.849998,3625.050049,144.949997
01-05-2020,179.25,7.15,69.550003,150.649994,1354.349976,70.279999,898.950012,79.5,3449,131.899994
01-06-2020,218.699997,5.45,79.300003,148.050003,1393.75,76.529999,945.200012,88.949997,3447.850098,167.949997
01-07-2020,249.100006,6.25,80.150002,141.149994,1580.800049,73.120003,983.5,96.400002,3649.649902,148.100006
01-08-2020,242.649994,5.15,86.300003,158.350006,1610.5,70.57,1024.949951,133.449997,3423.399902,170.050003
01-09-2020,289.850006,5.4,76.800003,152.649994,1706.449951,78.309998,1182.300049,126.900002,3997.5,150.600006
01-10-2020,277.850006,4.7,77.599998,158.300003,1675.199951,73.089996,1279.550049,169.300003,3948.949951,143.050003
01-11-2020,250.399994,5.75,72.949997,187.199997,1667.75,71.910004,1143.75,137.699997,3675.75,162.600006
01-12-2020,258.950012,6.15,70.150002,232.850006,1712.650024,65.470001,1138.650024,137.899994,3545.5,153.25
01-01-2021,279.700012,6.85,75.849998,255.449997,1887.75,65.07,1319.099976,145.5,3606,162.800003
01-02-2021,326.25,5.45,90.25,302.5,1736.199951,68.629997,1099.400024,141.949997,3535.300049,152.050003
01-03-2021,334.450012,5.25,94.75,287.049988,1715.599976,62.169998,1126.949951,104.900002,3427.449951,151.399994
01-04-2021,410,4.2,79.949997,247.300003,1906.849976,61.330002,1163.75,90.849998,3206.399902,151.300003
01-05-2021,464.149994,3.7,99.75,288.450012,1567.550049,55.209999,1079.25,83.099998,3279.25,163.699997
01-06-2021,502.450012,2.25,90.949997,281.100006,1503.599976,57.57,1040.75,65.349998,3647.800049,149.25
01-07-2021,490.299988,2.65,84.900002,337.649994,1461.900024,54.959999,973.25,69.449997,3466.399902,154.399994
01-08-2021,499.850006,2.3,108.050003,320.549988,1549.699951,62.799999,948.400024,69.800003,3900.399902,177.850006
01-09-2021,496.950012,1.85,99.25,417.200012,1492.949951,61.049999,938.950012,77,3747.75,196.199997
01-10-2021,516.849976,2.4,93.949997,398.600006,1413.449951,58.419998,932.349976,73.650002,3843.050049,187.199997
01-11-2021,455.799988,2.7,90.349998,374.799988,1537.650024,62.310001,1041.150024,78.349998,3766.550049,196.25
01-12-2021,464.649994,1.95,75.699997,390.450012,1634.949951,70.57,1120.800049,81.949997,4362.299805,173.850006
01-01-2022,444.399994,2.6,73.550003,390.899994,1508.199951,68.410004,1039.300049,77.099998,4307.450195,177.949997
01-02-2022,493.549988,2.8,66.599998,350.75,1533.75,67.360001,1122.199951,67.199997,4317.600098,198.050003
01-03-2022,512.25,5.05,57.299999,380.450012,1487.550049,67.639999,1077.599976,66.449997,4461.75,210.699997
01-04-2022,508.700012,4.3,49.700001,371.850006,1427.949951,66.669998,1085.25,63.650002,4322.149902,217.5
01-05-2022,499.549988,3.75,53.349998,345.549988,1252.75,69.800003,1064.099976,87.599998,4553.549805,215.850006
01-06-2022,486.25,2.9,50.400002,312.700012,1318.300049,64.400002,1145.099976,92.150002,4657.049805,259.549988
01-07-2022,465.049988,3.65,50.549999,385.950012,1299,65.480003,1137.050049,96.449997,4654.149902,244.899994
